station,valid,tmpf
BHM,2006-01-01 13:53,64.94
DHN,2006-01-01 13:53,68.00
ANB,2006-01-01 13:53,64.94
HSV,2006-01-01 13:53,64.04
MGM,2006-01-01 13:53,62.96
TCL,2006-01-01 13:53,66.02
MSL,2006-01-01 13:53,66.02
AUO,2006-01-01 13:55,57.20
MOB,2006-01-01 13:56,73.94
OZR,2006-01-01 13:57,71.60
3A1,2006-01-01 14:00,64.40
ALX,2006-01-01 14:00,62.60
MDQ,2006-01-01 14:00,60.80
DHN,2006-01-01 14:04,68.00
AUO,2006-01-01 14:15,57.20
ANB,2006-01-01 14:15,64.40
DHN,2006-01-01 14:19,69.80
ALX,2006-01-01 14:20,62.60
3A1,2006-01-01 14:20,62.60
MDQ,2006-01-01 14:20,60.80
ANB,2006-01-01 14:30,62.60
DHN,2006-01-01 14:34,71.60
AUO,2006-01-01 14:35,57.20
3A1,2006-01-01 14:40,62.60
ALX,2006-01-01 14:40,60.80
MDQ,2006-01-01 14:40,60.80
DHN,2006-01-01 14:45,71.60
HSV,2006-01-01 14:53,64.40
MSL,2006-01-01 14:53,64.94
TCL,2006-01-01 14:53,66.02
DHN,2006-01-01 14:53,69.98
BHM,2006-01-01 14:53,62.96
MGM,2006-01-01 14:53,64.04
ANB,2006-01-01 14:53,62.96
AUO,2006-01-01 14:55,57.20
OZR,2006-01-01 14:55,73.40
MOB,2006-01-01 14:56,73.94
3A1,2006-01-01 15:00,62.60
ALX,2006-01-01 15:00,60.80
MDQ,2006-01-01 15:00,60.80
OZR,2006-01-01 15:01,73.40
DHN,2006-01-01 15:07,69.80
DHN,2006-01-01 15:09,69.80
DHN,2006-01-01 15:14,69.80
AUO,2006-01-01 15:15,57.20
OZR,2006-01-01 15:16,73.40
3A1,2006-01-01 15:20,62.60
MDQ,2006-01-01 15:20,60.80
ALX,2006-01-01 15:20,60.80
DHN,2006-01-01 15:25,69.80
AUO,2006-01-01 15:35,57.20
3A1,2006-01-01 15:40,62.60
MDQ,2006-01-01 15:40,62.60
DHN,2006-01-01 15:40,69.80
ALX,2006-01-01 15:40,60.80
